date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jul%202018%2010:49:01%20GMT	http://boingboing.net/features/getthumbs	C:/Users/sai%20ram/Desktop/test/youtube/boingboing.net/features/getthumbs.0.delayed	(from )
16:19:04	19410/19410	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jul%202018%2010:49:03%20GMT	https://boingboing.net/features/getthumbs	C:/Users/sai%20ram/Desktop/test/youtube/boingboing.net/features/getthumbs.html	(from )
16:19:06	85/85	---M-Z	200	added ('OK')	text/plain	etag:%226f-4e236cb6ef300%22	https://boingboing.net/robots.txt		(from )
16:19:10	67017/67017	---M--	200	added ('OK')	image/jpeg	etag:%222c2466b-105c9-4ea48eb7527e8%22	http://media.boingboing.net/wp-content/uploads/2013/11/02AWARD1-popup.jpg	C:/Users/sai%20ram/Desktop/test/youtube/media.boingboing.net/wp-content/uploads/2013/11/02AWARD1-popup.jpg	(from https://boingboing.net/features/getthumbs)
16:19:10	67135/67135	---MCZ	200	added ('OK')	text/css	etag:%2252091a-1063f-5702fe4c6561a%22	https://media.boingboing.net/wp-content/plugins/jetpack/css/jetpack.css?ver=6.3.2	C:/Users/sai%20ram/Desktop/test/youtube/media.boingboing.net/wp-content/plugins/jetpack/css/jetpacke35d.css	(from https://boingboing.net/features/getthumbs)
16:19:10	745/745	---M--	200	added ('OK')	image/png	etag:%2248943a57a7918799%22	https://i0.wp.com/media.boingboing.net/wp-content/uploads/2018/04/apple-touch-icon-1.png?fit=32%2C32&ssl=1	C:/Users/sai%20ram/Desktop/test/youtube/i0.wp.com/media.boingboing.net/wp-content/uploads/2018/04/apple-touch-icon-1e43b.png	(from https://boingboing.net/features/getthumbs)
16:19:10	1026/1026	---M--	200	added ('OK')	image/png	etag:%22b5754e78ad168f4a%22	https://i0.wp.com/media.boingboing.net/wp-content/uploads/2018/04/apple-touch-icon-1.png?fit=158%2C158&ssl=1	C:/Users/sai%20ram/Desktop/test/youtube/i0.wp.com/media.boingboing.net/wp-content/uploads/2018/04/apple-touch-icon-1d0c2.png	(from https://boingboing.net/features/getthumbs)
16:19:11	8164/8164	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2019:24:18%20GMT	https://www.stack-sonar.com/ping.js	C:/Users/sai%20ram/Desktop/test/youtube/www.stack-sonar.com/ping.js	(from https://boingboing.net/features/getthumbs)
16:19:12	7161/7161	---M--	200	added ('OK')	application/javascript	etag:%2254066e631ff6298ba3b712c4d660a2ae%22	http://burnside.dtcn.com/barkeep/barkeep.min.js	C:/Users/sai%20ram/Desktop/test/youtube/burnside.dtcn.com/barkeep/barkeep.min.js	(from https://boingboing.net/features/getthumbs)
16:19:14	15974/15974	---M-Z	200	added ('OK')	application/javascript	etag:%2273235646e2230421ee4cc6714a946e38%22	http://video.unrulymedia.com/native/native-loader.js	C:/Users/sai%20ram/Desktop/test/youtube/video.unrulymedia.com/native/native-loader.js	(from https://boingboing.net/features/getthumbs)
